Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-01-02,24.237549,15.426,26.278944,76.95555,46.511124,77.9058,39.85845,0.48301136,66.51835,57.91689
2015-01-05,23.554735,15.1095,25.778227,76.41808,45.067196,76.65454,39.49192,0.47485322,66.202065,56.332203
2015-01-06,23.556952,14.7645,25.142035,76.04258,43.89865,75.62175,38.91229,0.46045652,65.90051,56.032726
2015-01-07,23.887281,14.921,25.068092,77.72129,43.96563,75.62175,39.40669,0.4592568,66.246216,56.600468
2015-01-08,24.805077,15.023,25.155436,78.332405,44.948116,77.63769,40.565952,0.47653288,67.00376,57.54258
2015-01-09,24.831692,14.8465,24.848255,77.26479,44.166595,77.20074,40.225,0.4784525,66.378586,57.461452
2015-01-12,24.219816,14.5705,24.666626,76.99975,43.787006,76.1878,39.722073,0.47245377,66.13588,56.35714
2015-01-13,24.434856,14.737,24.90185,77.13228,43.79445,75.91967,39.517494,0.47173396,66.41537,56.151264
2015-01-14,24.34175,14.6635,25.106798,76.57269,42.283524,75.75085,39.17653,0.4736535,66.18737,55.989037
2015-01-15,23.681108,14.3475,25.01152,75.4609,40.928917,73.53633,38.767372,0.4702943,66.09176,55.50239
2015-01-16,23.497105,14.537,25.331604,76.60215,41.628544,74.65848,39.415203,0.4789324,67.114075,56.850033
2015-01-20,24.102312,14.472,25.305798,74.57741,41.464794,75.711136,39.543064,0.48037195,67.06996,56.831306
2015-01-21,24.286325,14.8625,25.824377,75.02653,41.59878,76.207664,39.142437,0.48709047,67.20624,57.31797
2015-01-22,24.918142,15.516,26.663534,76.39601,42.864082,77.11136,40.17384,0.49548852,67.865524,57.941856
2015-01-23,25.046726,15.6195,26.894295,75.24742,42.186768,77.2901,40.216457,0.49692836,66.72477,56.70653
2015-01-26,25.073326,15.483,26.634756,75.291595,42.253757,76.962395,40.071556,0.49476877,66.35442,57.24933
2015-01-27,24.195433,15.3375,25.864077,75.166405,41.829506,75.25431,36.363598,0.47101417,64.06556,56.743977
2015-01-28,25.563265,15.1955,25.429363,74.7173,40.75027,75.711136,35.110554,0.46333578,63.072987,54.872257
2015-01-29,26.359144,15.589,25.469063,75.37993,41.435028,77.45893,35.809536,0.47461325,63.458164,54.641426
2015-01-30,25.973398,17.7265,26.675945,73.73069,40.47489,75.383415,34.437153,0.4606965,62.435963,54.541588
2015-02-02,26.299282,18.2235,26.410452,74.23869,41.28617,74.4698,35.18727,0.47077417,63.050774,55.889194
2015-02-03,26.30372,18.1775,26.465038,75.43885,42.21653,74.87696,35.460033,0.48253143,63.665596,57.555016
2015-02-04,26.505453,18.2375,26.107738,74.628914,41.963478,75.10536,35.66463,0.48373124,63.547062,57.062164
2015-02-05,26.694643,18.6945,26.292841,75.43885,42.253757,75.085495,36.184586,0.4916496,64.22112,57.62367
2015-02-06,26.46985,18.714,26.49382,74.43749,43.087353,73.95342,36.1505,0.48948994,63.413727,57.516804
2015-02-09,26.645676,18.528,26.265545,73.465614,43.03526,73.92362,36.107887,0.48901004,62.998924,57.55452
2015-02-10,27.157578,18.65,26.805464,73.8853,43.51162,74.66842,36.31245,0.50268704,63.250763,57.208782
2015-02-11,27.79411,18.757,26.698273,73.90738,43.44463,75.97925,36.124912,0.4993278,63.435947,56.951057
2015-02-12,28.145773,18.8585,27.095772,72.47901,44.33778,75.7012,36.730137,0.53507984,63.724823,58.0637
2015-02-13,28.283764,19.0915,27.351343,73.34782,44.412228,75.21459,37.395008,0.5353197,63.628567,58.692287
2015-02-17,28.450691,18.7715,27.046148,73.95157,44.73225,75.07556,37.412167,0.53699934,63.324863,58.49114
2015-02-18,28.648775,18.6685,26.92903,73.59814,44.188927,76.17787,37.36925,0.5307605,63.895184,57.208782
2015-02-19,28.588678,18.95,27.117605,74.14298,44.084717,78.86907,37.343494,0.53220034,63.117435,56.221874
